~iteration~,metric_loss,classifier_loss,total_loss
0,1,0.5,1.0
9,1,0.5,1.0
18,1,0.5,1.0
27,1,0.5,1.0
36,1,0.5,1.0
45,1,0.5,1.0
54,1,0.5,1.0
63,1,0.5,1.0
72,1,0.5,1.0
81,1,0.5,1.0
90,1,0.5,1.0
99,1,0.5,1.0
108,1,0.5,1.0
117,1,0.5,1.0
126,1,0.5,1.0
135,1,0.5,1.0
144,1,0.5,1.0
153,1,0.5,1.0
162,1,0.5,1.0
171,1,0.5,1.0
180,1,0.5,1.0
189,1,0.5,1.0
198,1,0.5,1.0
207,1,0.5,1.0
216,1,0.5,1.0
225,1,0.5,1.0
234,1,0.5,1.0
243,1,0.5,1.0
252,1,0.5,1.0
261,1,0.5,1.0
270,1,0.5,1.0
279,1,0.5,1.0
288,1,0.5,1.0
297,1,0.5,1.0
306,1,0.5,1.0
315,1,0.5,1.0
324,1,0.5,1.0
333,1,0.5,1.0
342,1,0.5,1.0
351,1,0.5,1.0
360,1,0.5,1.0
369,1,0.5,1.0
378,1,0.5,1.0
387,1,0.5,1.0
396,1,0.5,1.0
405,1,0.5,1.0
414,1,0.5,1.0
423,1,0.5,1.0
432,1,0.5,1.0
441,1,0.5,1.0
450,1,0.5,1.0
459,1,0.5,1.0
468,1,0.5,1.0
477,1,0.5,1.0
486,1,0.5,1.0
495,1,0.5,1.0
504,1,0.5,1.0
513,1,0.5,1.0
522,1,0.5,1.0
531,1,0.5,1.0
540,1,0.5,1.0
549,1,0.5,1.0
558,1,0.5,1.0
567,1,0.5,1.0
576,1,0.5,1.0
585,1,0.5,1.0
594,1,0.5,1.0
603,1,0.5,1.0
612,1,0.5,1.0
621,1,0.5,1.0
630,1,0.5,1.0
639,1,0.5,1.0
648,1,0.5,1.0
657,1,0.5,1.0
666,1,0.5,1.0
675,1,0.5,1.0
684,1,0.5,1.0
693,1,0.5,1.0
702,1,0.5,1.0
711,1,0.5,1.0
720,1,0.5,1.0
729,1,0.5,1.0
738,1,0.5,1.0
747,1,0.5,1.0
756,1,0.5,1.0
765,1,0.5,1.0
774,1,0.5,1.0
783,1,0.5,1.0
792,1,0.5,1.0
801,1,0.5,1.0
810,1,0.5,1.0
819,1,0.5,1.0
828,1,0.5,1.0
837,1,0.5,1.0
846,1,0.5,1.0
855,1,0.5,1.0
864,1,0.5,1.0
873,1,0.5,1.0
882,1,0.5,1.0
891,1,0.5,1.0
900,1,0.5,1.0
909,1,0.5,1.0
918,1,0.5,1.0
927,1,0.5,1.0
936,1,0.5,1.0
945,1,0.5,1.0
954,1,0.5,1.0
963,1,0.5,1.0
972,1,0.5,1.0
981,1,0.5,1.0
990,1,0.5,1.0
999,1,0.5,1.0
1008,1,0.5,1.0
1017,1,0.5,1.0
1026,1,0.5,1.0
1035,1,0.5,1.0
1044,1,0.5,1.0
1053,1,0.5,1.0
1062,1,0.5,1.0
1071,1,0.5,1.0
1080,1,0.5,1.0
1089,1,0.5,1.0
1098,1,0.5,1.0
1107,1,0.5,1.0
1116,1,0.5,1.0
1125,1,0.5,1.0
1134,1,0.5,1.0
1143,1,0.5,1.0
1152,1,0.5,1.0
